Dataset, K, Total time, Diversity, Alpha,,
scp42.txt,12,594,0.045240162,0.8,,0.045240162
scp42.txt,13,614,0.046000327,0.8,,0.046000327
scp42.txt,14,607,0.046586811,0.8,,0.046586811
scp42.txt,15,612,0.046121944,0.8,,0.046121944
scp42.txt,16,612,0.045795973,0.8,,0.045795973
scp42.txt,17,608,0.04635025,0.8,,0.04635025
scp42.txt,18,614,0.046798485,0.8,,0.046798485
scp42.txt,19,617,0.04642228,0.8,,0.04642228
scp42.txt,20,639,0.046131584,0.8,,0.046131584
scp42.txt,5,585,0.040036711,0.9,,0.040036711
scp42.txt,6,579,0.04030538,0.9,,0.04030538
scp42.txt,7,576,0.039971519,0.9,,0.039971519
scp42.txt,8,584,0.040127986,0.9,,0.040127986
scp42.txt,9,597,0.039907738,0.9,,0.039907738
scp42.txt,10,607,0.039976049,0.9,,0.039976049
scp42.txt,11,588,0.042519605,0.9,,0.042519605
scp42.txt,12,595,0.044341681,0.9,,0.044341681
scp42.txt,13,594,0.045061836,0.9,,0.045061836
scp42.txt,14,595,0.045617453,0.9,,0.045617453
scp42.txt,15,604,0.045177053,0.9,,0.045177053
scp42.txt,16,603,0.044868238,0.9,,0.044868238
scp42.txt,17,608,0.045393342,0.9,,0.045393342
scp42.txt,18,617,0.045817987,0.9,,0.045817987
scp42.txt,19,647,0.045461582,0.9,,0.045461582
scp42.txt,20,651,0.045186185,0.9,,0.045186185
scp42.txt,5,584,0.039463447,1,,0.039463447
scp42.txt,6,581,0.039698562,1,,0.039698562
scp42.txt,7,578,0.039381394,1,,0.039381394
scp42.txt,8,588,0.039530037,1,,0.039530037
scp42.txt,9,586,0.039320801,1,,0.039320801
scp42.txt,10,606,0.039385697,1,,0.039385697
scp42.txt,11,594,0.041802075,1,,0.041802075
scp42.txt,12,604,0.043533047,1,,0.043533047
scp42.txt,13,597,0.044217195,1,,0.044217195
scp42.txt,14,598,0.044745031,1,,0.044745031
scp42.txt,15,621,0.044326651,1,,0.044326651
scp42.txt,16,605,0.044033277,1,,0.044033277
scp42.txt,17,611,0.044532126,1,,0.044532126
scp42.txt,18,623,0.044935538,1,,0.044935538
scp42.txt,19,618,0.044596954,1,,0.044596954
scp42.txt,20,626,0.044335327,1,,0.044335327
scp42.txt,5,576,0.035832774,2,,0.035832774
scp42.txt,6,574,0.035855379,2,,0.035855379
scp42.txt,7,579,0.035643934,2,,0.035643934
scp42.txt,8,583,0.03574303,2,,0.03574303
scp42.txt,9,582,0.035603539,2,,0.035603539
scp42.txt,10,591,0.035646803,2,,0.035646803
scp42.txt,11,590,0.037257721,2,,0.037257721
scp42.txt,12,592,0.038411703,2,,0.038411703
scp42.txt,13,597,0.038867802,2,,0.038867802
scp42.txt,14,598,0.039219692,2,,0.039219692
scp42.txt,15,599,0.038940772,2,,0.038940772
scp42.txt,16,605,0.038745189,2,,0.038745189
scp42.txt,17,609,0.039077755,2,,0.039077755
scp42.txt,18,617,0.039346697,2,,0.039346697
scp42.txt,19,616,0.039120974,2,,0.039120974
scp42.txt,20,627,0.038946556,2,,0.038946556
scp42.txt,5,577,0.034017438,3,,0.034017438
scp42.txt,6,578,0.033933788,3,,0.033933788
scp42.txt,7,583,0.033775204,3,,0.033775204
scp42.txt,8,582,0.033849526,3,,0.033849526
scp42.txt,9,585,0.033744908,3,,0.033744908
scp42.txt,10,592,0.033777355,3,,0.033777355
scp42.txt,11,593,0.034985545,3,,0.034985545
scp42.txt,12,593,0.035851031,3,,0.035851031
scp42.txt,13,593,0.036193105,3,,0.036193105
scp42.txt,14,597,0.036457023,3,,0.036457023
scp42.txt,15,606,0.036247833,3,,0.036247833
scp42.txt,16,614,0.036101145,3,,0.036101145
scp42.txt,17,617,0.03635057,3,,0.03635057
scp42.txt,18,622,0.036552276,3,,0.036552276
scp42.txt,19,620,0.036382984,3,,0.036382984
scp42.txt,20,636,0.03625217,3,,0.03625217
scp42.txt,5,578,0.032928236,4,,0.032928236
scp42.txt,6,585,0.032780833,4,,0.032780833
scp42.txt,7,581,0.032653966,4,,0.032653966
scp42.txt,8,579,0.032713423,4,,0.032713423
scp42.txt,9,586,0.032629729,4,,0.032629729
scp42.txt,10,583,0.032655687,4,,0.032655687
scp42.txt,11,596,0.033622238,4,,0.033622238
scp42.txt,12,596,0.034314627,4,,0.034314627
scp42.txt,13,600,0.034588287,4,,0.034588287
scp42.txt,14,601,0.034799421,4,,0.034799421
scp42.txt,15,606,0.034632069,4,,0.034632069
scp42.txt,16,612,0.034514719,4,,0.034514719
scp42.txt,17,621,0.034714259,4,,0.034714259
scp42.txt,18,627,0.034875624,4,,0.034875624
scp42.txt,19,626,0.03474019,4,,0.03474019
